PROCESSOS - CONSELHO DE TRANSFORMAÇÃO DIGITAL,,,,,,,,,"R$ 1.030.247.955,41",,,,,,"R$ 428.862.865,16",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVIDêNCIAS,ID,DATA RECEB CTD,PROCESSO,ÓRGÃO,OBJETO,CATEGORIAS DA DEMANDA,SUB-CATEGORIA PRINCIPAL,MODALIDADE DE CONTRATAÇÃO,VALOR SOLICITADO,RESPONSÁVEL FICHA TÉCNICA,STATUS DA FICHA (TÉCNICOS),CATEGORIA VALOR,REUNIÃO CTD,STATUS DELIBERAÇÃO CONSELHO ou COMITÊ,VALOR APROVADO,TEM NO DOE?,VALOR CONTRATADO,DATA CONTRATAÇÃO,FORMA DE EXECUÇÃO,VIGÊNCIA DA CONTRATAÇÃO,COMPROMISSO DE GOVERNO ,MARCO TEMPORAL,OBSERVAÇÃO GOVERNADOR,OBSERVAÇÕES  SIA,Coluna 1,Coluna 2,RENOVAÇÃO,CONTRATO,VALOR MENSAL PAGO,PLANO ESTRATÉGICO,SISTEMA (TIPO),INFRAESTRUTURA E EQUIPAMENTOS (TIPO),CONSULTORIA / OUTROS SERVIÇOS de TIC,CONCLUSÃO TÉCNICA DA FICHA,DESPACHO DECISÓRIO COMITÊ (ABAIXO DE 600MIL),DESPACHO AD REFEREDUM (ACIMA DE 600 MIL),OBSERVAÇÕES REUNIÃO,OBSERVAÇÕES,REUNIÃO - DATA,PONTO DE PAUTA NA REUNIÃO
,DCT44,20/08/2024,00027.000302/2024-65,SSP,"Contratação de uma solução técnica para a implementação de sistemas de segurança por videomonitoramento. Isso inclui o fornecimento de equipamentos, materiais, serviços, testes e manutenção preventiva para atender às necessidades de segurança das cidades de Teresina e Parnaíba.",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Outros Equipamentos,Convênio Federal,"R$ 28.650.000,00",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,24/10/2024,APROVADO,"R$ 2.585.025,60",,"R$ 25.497.975,98",12/02/2025,Contratação de Pessoa Jurídica,12M,CG-171,DEPOIS DO COMITÊ,,FICHA REVISADA - INSERIDA NO SEI. Aguardando reunião,,,NÃO,,," Promover a paz e reduzir a violência com ações de prevenção, repressão e ressocialização, a partir de uma rede integrada de atuação governamental e da construção de instituições eficazes e responsáveis.",,Materiais e Equipamentos Diversos,,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,NÃO SE APLICA ,,,,24/10/2024,
,DCT45,23/8/2024,00019.021901/2023-31,PC,"Aquisição de software como serviço (SAAS), que permita a operacionalização e gerenciamento dos procedimentos de licitações, contratos e compras, almoxarifado e patrimônio da Polícia Civil do estado do Piauí",SISTEMA,Novo Sistema / Assinatura,Contratação Direta (Dispensa),"R$ 45.000,00",THIAGO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 45.000,00",,,,Contratação de Pessoa Jurídica,12M,CG-083,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO TRANSVERSAL 3 ,Assinatura,,,SUGERE DEFERIMENTO,Aguardando despacho,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT46,09/09/2024,00322.000039/2024-70,FUNART,"Aquisição de baterias para câmeras, pilhas, carregadores de pilhas e cartões de memória necessários para produção audiovisual , visando atender às necessidades da Fundação Rádio e Televisão Educativa do Piauí.",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Outros Equipamentos,Pregão Eletrônico,"R$ 11.440,39",NÃO SE APLICA,NÃO SE APLICA,ABAIXO DE 600 MIL,NÃO SE APLICA,REJEITADO,"R$ 0,00",,"R$ 11.440,39",26/09/2024,Contratação de Pessoa Jurídica,12M,CG-125,DEPOIS DO COMITÊ,,*devolvido por não fazer parte do escopo do CTD*,,,*rejeitado*,*rejeitado*,*rejeitado*,EIXO TRANSVERSAL 4,,"Materiais e Equipamentos Diversos, Materiais e Equipamentos de TIC",,NÃO SE APLICA,NÃO SE APLICA ,REJEITADO,,Despacho informando NÃO ser da competência do Conselho deliberar sobre o caso.,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT47,10/09/2024,00321.012317/2023-61,CBMEPI,Contratação  de empresa especializada para serviço e instalação de um Sistema de Circuito Fechado de TV (CFTV) nas dependências dos quarteis do Corpo de Bombeiros Militar do Estado do Piauí (sistema de vigilância),INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Outros Equipamentos,Adesão à Ata de Registro de Preços,"R$ 614.196,00",THIAGO (SIA),CONCLUÍDO,ACIMA 600 MIL,24/10/2024,APROVADO,"R$ 614.196,00",,,não formalizado,Contratação de Pessoa Jurídica,12M,CG-172,DEPOIS DO COMITÊ,, AD REFERENDUM - DESPACHO DE AUTORIZAÇAO INSERIDO NO SEI,,,NÃO,,"51.183,00",EIXO ESTRATÉGICO 2 ,,Materiais e Equipamentos Diversos,,SUGERE DEFERIMENTO,NÃO SE APLICA ,SIM,,,AD REFERENDUM,
,DCT48,15/09/2024,00009.011669/2024-22,SEFAZ,Contratação da empresa Oracle do Brasil Sistemas LTDA para a prestação de serviços de Atualização Tecnológica de Software e Manutenção/Suporte Técnico das 112 (cento e doze) licenças Oracle da Secretaria,"SISTEMA, CONSULTORIA E SERVIÇOS DE TIC",Banco de Dados,Contratação Direta (Inexigibilidade),"R$ 1.582.558,86",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,24/10/2024,APROVADO,"R$ 1.582.558,85",,"R$ 1.582.558,85",04/11/2024,Contratação de Pessoa Jurídica,12M,CG-083,DEPOIS DO COMITÊ,,ja tem contrato e gestor de contrato ,,,NÃO,036/2024,"131.879,05",EIXO TRANSVERSAL 3 ,Licença,,Outras consultorias especializadas em TIC;,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,NÃO SE APLICA ,ja tem contrato e gestor de contrato ,,Já existe contrato assinado,24/10/2024,
,DCT49,16/09/2024,00071.006121/2023-26,INTERPI,"A aquisição de 05 (cinco) licenças do software METRICATOPO, tendo em vista que a DIOPE conta com vários engenheiros que serão beneficiados com a chave do programa para atender as demandas deste órgão",SISTEMA,Novo Sistema / Licença,Contratação Direta (Inexigibilidade),"R$ 18.150,00",THIAGO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 18.150,00",,"R$ 18.150,00",07/10/2024,Contratação de Pessoa Jurídica,36M,CG-165,DEPOIS DO COMITÊ,,,,,NÃO,017/2024,"18.150,00",EIXO ESTRATÉGICO 1 ,Licença,,,SUGERE DEFERIMENTO,APROVADO,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT50,18/9/2024,00153.000279/2024-63,SETUR,A contratação de empresa especializada em locação de impressoras (Contratação mensal),INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Serviços / Outsourcing de Impressão,Contratação Direta (Dispensa),"R$ 31.800,00",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 31.800,00",,"R$ 31.800,00",25/02/2025,Contratação de Pessoa Jurídica,12M,CG-105,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO ESTRATÉGICO 1 ,,Materiais e Equipamentos de TIC,,SUGERE DEFERIMENTO,APROVADO,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT51,20/9/2024,00010.0094922024-65,SSP,"Contratação de empresa para o desenvolvimento de solução para prevenção, análise e estudo relacionado a elaboração de indicador de linchamento e das ocorrências de letalidade policial da Secretaria de Segurança Pública do Estado do Piauí – SSP/PI.",CONSULTORIA E SERVIÇOS DE TIC,Novo Sistema / Contratação de Pessoa Jurídica,Contratação Direta (Dispensa) - FADEX,"R$ 354.666,67",THIAGO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 354.666,67",,,,FADEX,12M,CG-171,DEPOIS DO COMITÊ,,"*Ficha não foi feita, contudo SSP solicitou a aprovação do processo. Foi feito despacho de aprovação*",,,*aprovado sem ficha*,*aprovado sem ficha*,*aprovado sem ficha*,EIXO ESTRATÉGICO 2 ,,,Outros serviços técnicos especializados;,NÃO SE APLICA,APROVADO,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT52,26/09/2024,00027.005701/2024-12,SSP,"Aquisição de 100 (cem) câmeras corporais para a Secretaria de Segurança Pública do Estado do Piauí, visando atender a demanda da  Polícias Civil e Militar do Estados",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Outros Equipamentos,Adesão à Ata de Registro de Preços,"R$ 706.800,00",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,24/10/2024,APROVADO,"R$ 706.800,00",,"R$ 706.800,00",29/11/2024,Contratação de Pessoa Jurídica,12M,CG-171,DEPOIS DO COMITÊ,,FICHA REVISADA - INSERIDA NO SEI. SUGERE DEFERIMENTO,,,NÃO,,,EIXO ESTRATÉGICO 2 ,,Materiais e Equipamentos Diversos,,SUGERE DEFERIMENTO,NÃO SE APLICA ,,,,24/10/2024,
,DCT53,01/10/2024,00095.004633/2024-61,SEJUS,"Aquisição de software de videoconferência em nuvem (CLOUD) responsável por armazenar, gerenciar, organizar, agendar, criar salas de vídeo conferência e permitir a utilização por completo dos recursos no tablet e câmera.",SISTEMA,Novo Sistema / Licença,Pregão Eletrônico,"R$ 674.135,94",THIAGO (SIA),CONCLUÍDO,ACIMA 600 MIL,24/10/2024,APROVADO,"R$ 674.135,94",,,não formalizado,Contratação de Pessoa Jurídica,12M,CG-117,DEPOIS DO COMITÊ,,FICHA REVISADA - INSERIDO NO SEI (AGUARDANDO REUNIÃO DO CONSELHO),,,NÃO,,,NÃO,Assinatura,,,SUGERE DEFERIMENTO,NÃO SE APLICA ,,,,24/10/2024,
,DCT54,02/10/2024,00012.034125/2024-80,SESAPI,"Implantação de Plataforma Digital, que permita a integração dos serviços de saúde do Piauí que farão parte da Linha de Cuidado do AVC e da Linha de Cuidado do IAM","SISTEMA, INFRAESTRUTURA E EQUIPAMENTOS DE TIC, CONSULTORIA E SERVIÇOS DE TIC",Sistema Existente / Contratação de Pessoa Jurídica,Adesão à Ata de Registro de Preços,"R$ 8.616.000,00",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,24/10/2024,APROVADO,"R$ 8.616.000,00",,,,Contratação de Pessoa Jurídica,12M,CG-111,DEPOIS DO COMITÊ,,FICHA REVISADA - INSERIDO NO SEI (AGUARDANDO REUNIÃO DO CONSELHO),,,NÃO,,,EIXO ESTRATÉGICO 2 ,Licença,"Suporte e Atendimento a Usuário de TIC, Materiais e Equipamentos Diversos",Outros serviços técnicos especializados;,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,NÃO SE APLICA ,,,,24/10/2024,
,DCT55,07/10/2024,00017.001647/2024-55,SEPLAN,"Aquisição de microcomputadores, monitores, notebook, impressoras e acessórios para a SEPLAN, no contexto do Projeto Integrado de Segurança Hídrica, Sustentabilidade Ambiental e Desenvolvimento Socioprodutivo da Bacia dos Rios Piauí e Canindé – PSI.",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Equipamentos de TIC,"Operação de Crédito (BID, BIRD, etc)","R$ 928.557,50",THIAGO (SIA),CONCLUÍDO,ACIMA 600 MIL,24/10/2024,APROVADO,"R$ 928.557,50",,"R$ 817.893,00",,Contratação de Pessoa Jurídica,ÚNICA,NÃO,DEPOIS DO COMITÊ,,FICHA REVISADA - INSERIDO NO SEI (AGUARDANDO REUNIÃO DO CONSELHO),,,NÃO,047/2024,,Piauí Sustentável e Inclusivo (PSI),,Materiais e Equipamentos Diversos,,SUGERE DEFERIMENTO,NÃO SE APLICA ,,,,24/10/2024,
,DCT56,11/10/2024,00027.006577/2023-21,SSP,"Aquisição de solução tecnológica para reconhecimento facial e análise de imagens, projetada para oferecer capacidades de processamento de dados visuais, com sistema integrado de gestão de usuários e casos, incluindo treinamento, suporte técnico e manutenção evolutiva de todos os componentes, bem como funcionalidade de auditoria de uso, pelo prazo de 36 (trinta e seis)meses ","SISTEMA, CONSULTORIA E SERVIÇOS DE TIC",Novo Sistema / Contratação de Pessoa Jurídica,Contratação Direta (Inexigibilidade),"R$ 599.060,20",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 428.400,00",,"R$ 428.400,00",18/07/2025,Contratação de Pessoa Jurídica,36M,CG-171,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO ESTRATÉGICO 2 ,Licença,,Outros serviços técnicos especializados;,SUGERE DEFERIMENTO,Aguardando despacho,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT57,17/10/2024,00010.009492/2024-65,SEGOV,"Contratação de empresa com a finalidade de adquirir assinaturas do software Adobe (Creative Cloud Todos os Apps) pelo período de trinta e seis meses, na modalidade SaaS (Software as a Service). ",SISTEMA,Novo Sistema / Licença,Adesão à Ata de Registro de Preços,"R$ 69.875,00",THIAGO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 69.875,00",,"R$ 69.875,00",07/05/2025,Contratação de Pessoa Jurídica,36M,NÃO,DEPOIS DO COMITÊ,,,,,NÃO,,,NÃO,Licença,,,SUGERE DEFERIMENTO,,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT58,23/10/2024,00301.000242/2024-94,CMTP,Contratação de empresa cujo objeto é a aquisição de software com suporte especializado em contabilidade,"SISTEMA, CONSULTORIA E SERVIÇOS DE TIC",Novo Sistema / Assinatura,Contratação Direta (Dispensa),"R$ 6.218,04",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 6.218,04",,"R$ 6.218,04",11/11/2024,Contratação de Pessoa Jurídica,12M,CG-083,DEPOIS DO COMITÊ,,,,,NÃO,048/2024,"518,17",EIXO TRANSVERSAL 3 ,Assinatura,,Outras consultorias especializadas em TIC;,SUGERE DEFERIMENTO,,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT59,24/10/2024,00002.005399/2024-81,SEAD,"Contratação de empresa de tecnologia para prestação de serviços de suporte técnico em equipamentos CISCO e suas devidas licenças dos equipamentos, recepcionado do projeto Piauí Conectado",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Datacenter / Soluções de Armazenamento,Contratação Direta (Dispensa),"R$ 3.336.302,40",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,06/01/2025,APROVADO,"R$ 3.336.302,40",,"R$ 3.336.302,40",31/03/2025,Contratação de Pessoa Jurídica,36M,CG-083,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO TRANSVERSAL 3 ,,"Computação em Nuvem, Segurança da Informação e Privacidade",,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,,,,,06/01/2025,
,DCT60,29/10/2024,00027.002203/2023-37,SSP,"Aquisição de Solução  de Análise de dados corporativo em memória e análise associativa, que permita extração, transformação e carga de dados, bem como a geração de gráficos analíticos, painéis (dash-boards), prover a distribuição de relatórios criados na ferramenta para suporte à tomada de decisão dos usuários, acompanhadas de suporte técnico e manutenção de software com garantia de atualização tecnológica como serviços agregados às licenças, além de treinamento e Prestação de Serviços de Mentoria.","SISTEMA, CONSULTORIA E SERVIÇOS DE TIC",Novo Sistema / Licença,Contratação Direta (Dispensa),"R$ 37.565,00",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 37.565,00",,,não formalizado,Contratação de Pessoa Jurídica,12M,CG-083,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO TRANSVERSAL 3 ,Licença,,Outras consultorias especializadas em TIC;,SUGERE DEFERIMENTO,,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT61,31/10/2024,00010.007756/2024-46,SEGOV,"Contratação de empresa especializada para fornecimento de plano de uso de Sistema para Gerenciamento Estratégico e Projetos, na modalidade software as a service (SaaS, software como serviço) com prestação de serviços técnicos de configuração treinamento e consultoria, incluindo hospedagem e direito de uso de software, desenvolvido e disponibilizado em plataforma web, incluindo licenças de uso de software, por meio de subscrição anual em sua versão mais atualizada, para atender as necessidades da Secretaria de Governo do Estado Piauí – Segov-PI.",SISTEMA,Novo Sistema / Licença,Contratação Direta (Dispensa),"R$ 12.953,20",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 12.953,20",,,,Contratação de Pessoa Jurídica,12M,CG-083,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO TRANSVERSAL 3 ,Licença,,Outras consultorias especializadas em TIC;,SUGERE DEFERIMENTO,,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
Processo seguiu sem aprovação. Foi solicitado retirar da pauta no dia 17/06,DCT63,1/11/2024,00012.034166/2024-76,SESAPI,Contratação de empresa especializada no fornecimento de plataforma digital para educação continuada em saúde para o Estado do Piauí - Incorporação da  Ata de Registro de Preços nº XVIII/2023 – SESAPI oriunda do Pregão Eletrônico SRP Nº 45/2023 – SESAPI,SISTEMA,Novo Sistema / Assinatura,Adesão à Ata de Registro de Preços,"R$ 25.795.755,15",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,NÃO SE APLICA,APROVADO,,,,,Contratação de Pessoa Jurídica,12M,CG-111,DEPOIS DO COMITÊ,,,,,,,,EIXO ESTRATÉGICO 2,"Assinatura, Licença",,,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,,NÃO SE APLICA - ABAIXO DO VALOR MÍNIMO,,,A DEFINIR,
,DCT62,01/11/2024,00071.003060/2024-26,INTERPI,Aquisição de materiais de informática que apoiem na execução das atividades do Projeto Piauí de Sustentabilidade Inclusiva (PSI),INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Equipamentos de TIC,"Operação de Crédito (BID, BIRD, etc)","R$ 319.103,19",THIAGO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 319.103,19",,"R$ 449.010,61",04/02/2025,Contratação de Pessoa Jurídica,ÚNICA,NÃO,DEPOIS DO COMITÊ,,,,,NÃO,,,Piauí Sustentável e Inclusivo (PSI),,Materiais e Equipamentos de TIC,,SUGERE DEFERIMENTO,,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT65,04/11/2024,00011.050007/2024-29,SEDUC,Contratação de Serviços para Apoio à Formação do Hábito da Leitura e Desenvolvimento das Habilidades de Compreensão Leitora de Estudantes do Ensino Médio.,SISTEMA,Novo Sistema / Assinatura,Contratação Direta (Inexigibilidade),"R$ 3.193.600,00",THIAGO (SIA),CONCLUÍDO,ACIMA 600 MIL,06/01/2025,APROVADO,"R$ 3.193.600,00",,"R$ 3.193.600,00",19/02/2025,Contratação de Pessoa Jurídica,12M,CG-038,DEPOIS DO COMITÊ,,,,,NÃO,,,SUPER CHOQUE EDUCACIONAL,Assinatura,,,"COM PENDÊNCIAS, AGUARDANDO COMPLEMENTAÇÃO DE INFORMAÇÕES",,,,,06/01/2025,
,DCT64,04/11/2024,00012.032222/2024-38,SESAPI,"Aquisição, implantação, treinamento, suporte corretivo e evolutivo de um sistema integrado para recebimento de demandas e apoio nos processos de contratação e compras de insumos e serviços hospitalares, abrangendo uma variedade de itens, tais como: materiais, medicamentos, OPME (Órteses, Próteses e Materiais Especiais), dietas e serviços comuns, para atender as demandas da Secretaria de Estado da Saúde do Piauí","SISTEMA, CONSULTORIA E SERVIÇOS DE TIC",Novo Sistema / Contratação de Pessoa Jurídica,Contratação Direta (Dispensa),"R$ 1.524.000,00",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,06/01/2025,APROVADO,"R$ 1.524.000,00",,"R$ 1.524.000,00",14/02/2025,Contratação de Pessoa Jurídica,12M,CG-111,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO ESTRATÉGICO 2,Desenvolvimento (Novo Sistema),,Outros serviços técnicos especializados;,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,,APROVADO,,,06/01/2025,
,DCT67,11/11/2024,00030.022827/2024-01,DETRAN,"Serviços Técnicos Especializados de Tecnologia da Informação (TI) para o Desenvolvimento, Manutenção, Evolução de Sistemas, Treinamento, Licença de Uso de Plataforma e Equipamentos de TI sob Demanda",SISTEMA,Novo Sistema / Fábrica Software,Contratação Direta (Dispensa),"R$ 3.480.000,00",THIAGO (SIA),CONCLUÍDO,ACIMA 600 MIL,06/01/2025,APROVADO,"R$ 2.160.000,00",,"R$ 3.480.000,00",01/11/2024,Fábrica de Software,12M,CG-005,DEPOIS DO COMITÊ,,"* Não aprovou desenvolvimento, de R$ 3.480.000,00 foi aprovado R$ 2.160.000,00*",,,SIM,044/2022,"290.000,00",NÃO,Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação),Materiais e Equipamentos de TIC,Outros serviços técnicos especializados;,SUGERE DEFERIMENTO,,,,,06/01/2025,
,DCT38,11/11/2024,00019.000490/2024-21,PC,Contratação de empresa especializada no fornecimento de Scanner laser (LIDAR) de pequenas dimensões e baixo peso com sistema de registro automatizado em campo (Bens Permanentes),INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Equipamentos de TIC,Contratação Direta (Inexigibilidade),"R$ 446.512,40",THIAGO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 446.512,40",,"R$ 81.966,48",07/02/2025,Contratação de Pessoa Jurídica,36M,CG-171,DEPOIS DO COMITÊ,,,,,NÃO,,,Plano Estratégico da Polícia Civil do Piauí – 2020/2030,,Materiais e Equipamentos de TIC,,SUGERE DEFERIMENTO,,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT37,11/11/2024,00022.001945/2022-12,SECULT,Contratação  de serviços de empresa especializada na locação de impressora colorida,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Serviços / Outsourcing de Impressão,Contratação Direta (Dispensa),"R$ 56.280,00",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 56.280,00",,"R$ 56.280,00",03/12/2024,Contratação de Pessoa Jurídica,12M,CG-068,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO ESTRATÉGICO 2 ,,Materiais e Equipamentos Diversos,,,,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT40,21/11/2024,00003.007390/2024-02,PGE,Contratação da rede óptica baseada em GPON (Gigabit Passive Optical Network) ,"INFRAESTRUTURA E EQUIPAMENTOS DE TIC, CONSULTORIA E SERVIÇOS DE TIC",Comunicação de dados,Contratação Direta (Dispensa) - ETIPI,"R$ 700.433,60",ETIPI,CONCLUÍDO,ACIMA 600 MIL,06/01/2025,APROVADO,"R$ 409.187,74",,"R$ 409.187,74",17/06/2025,ETIPI,12M,CG-141 ,DEPOIS DO COMITÊ,* Devolvido para redimensionamento do projeto * Foi aprovado após redimensionamento,* Devolvido para redimensionamento do projeto * Foi aprovado após redimensionamento,,,NÃO,,,EIXO TRANSVERSAL 3,,Hospedagem de Sistemas,Outros serviços técnicos especializados;,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,,,,,06/01/2025,
,DCT41,28/11/2024,00010.010718/2024-71,SURPI,"Contratação de empresa especializada na coleta de dados e informações, compilação, elaboração de relatórios, clippings, reportagens e outros materiais ",CONSULTORIA E SERVIÇOS DE TIC,Consultoria / Análise de Dados,Contratação Direta (Inexigibilidade),"R$ 91.200,00",ETIPI,CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 91.200,00",,"R$ 91.199,99",20/01/2025,Contratação de Pessoa Jurídica,24M,CG-125,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO TRANSVERSAL 4,,,Outros serviços técnicos especializados;,,,,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT42,28/11/2024,00120.002801/2024-29,EMERGI,Contratação dos serviços de manutenção do software do sistema da empresa Fortes Informática,SISTEMA,Sistema Existente / Contratação de Pessoa Jurídica,Contratação Direta (Inexigibilidade),"R$ 24.000,00",THIAGO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 24.000,00",,"R$ 24.000,00",10/12/2024,Contratação de Pessoa Jurídica,12M,CG-083,DEPOIS DO COMITÊ,,,,,SIM,08/2024,"2.000,00",EIXO TRANSVERSAL 3 ,Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação),,,SUGERE DEFERIMENTO,,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT43,02/12/2024,00027.007235/2024-18,SSP,Contratação de empresa especializada para a prestação de serviço de comunicação integrada da SSP/PI e suas Forças de Segurança,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Comunicação de dados,"Operação de Crédito (BID, BIRD, etc)","R$ 1.967.901,79",ETIPI,CONCLUÍDO,ACIMA 600 MIL,06/01/2025,APROVADO,"R$ 1.967.901,79",,"R$ 1.967.796,40",03/07/2025,Contratação de Pessoa Jurídica,12M,CG-171,DEPOIS DO COMITÊ,,,,,NÃO,,,"Objetivo Estratégico: Promover a paz e reduzir a violência com ações de prevenção, repressão e ressocialização, a partir de uma rede integrada de atuação governamental e da construção de instituições eficazes e responsáveis.",,Materiais e Equipamentos Diversos,,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,,,,"Vários itens: ASSINATURA DE RAMAL IP
ENTRONCAMENTO DIGITAL PARA TRI-DIGITOS COM ATÉ 30 (TRINTA) CANAIS - SIP
ENTRONCAMENTO DIGITAL PARA SOFTWARE GUARDIÃO COM ATÉ 30 (TRINTA) CANAIS - E1 com sinalização ISDN
ASSINATURA BÁSICA DO PLANO DE NUMERAÇÃO DDR PARA ATÉ 100 (CEM) RAMAIS PARA SOFTWARE GUARDIÃO
LINK DE DADOS EXCLUSIVO DE INTERNET
IMPLANTAÇÃO E CONFIGURAÇÃO DO SISTEMA DE TELEFONIA",06/01/2025,
,DCT43,05/12/2024,00012.036237/2024-75,SESAPI,Contratação de empresa especializada em serviços de natureza singular e exclusiva de PLATAFORMA DE GERENCIAMENTO E TREINAMENTO DOS HOSPITAIS E PROFISSIONAIS QUE COMPÕEM A LINHA DE CUIDADO AO TRAUMA do Estado do Piauí,"SISTEMA, CONSULTORIA E SERVIÇOS DE TIC",Sistema Existente / Contratação de Pessoa Jurídica,Pregão Eletrônico,"R$ 15.600.000,00",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,06/01/2025,APROVADO,"R$ 15.600.000,00",,"R$ 12.599.999,00",25/03/2025,Contratação de Pessoa Jurídica,12M,CG-111,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO ESTRATÉGICO 2 ,Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação),,Outros serviços técnicos especializados;,,,,,,06/01/2025,
